Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,4.700000,4.720000,4.370000,4.420000,4.420000,17587300
2020-01-09,4.390000,4.420000,4.170000,4.360000,4.360000,22462000
2020-01-10,4.320000,4.320000,4.170000,4.200000,4.200000,19834400
2020-01-13,4.240000,4.250000,4.060000,4.110000,4.110000,12625500
2020-01-14,4.120000,4.170000,3.960000,4.130000,4.130000,13566700
2020-01-15,4.100000,4.160000,4.070000,4.120000,4.120000,11295000
2020-01-16,4.150000,4.300000,4.100000,4.100000,4.100000,12871700
2020-01-17,4.160000,4.160000,3.850000,3.860000,3.860000,30105100
2020-01-21,3.850000,3.850000,3.660000,3.700000,3.700000,17657200
2020-01-22,3.680000,3.680000,3.470000,3.520000,3.520000,16646800
2020-01-23,3.400000,3.450000,3.280000,3.340000,3.340000,19495100
2020-01-24,3.310000,3.330000,3.160000,3.230000,3.230000,19071100
2020-01-27,3.080000,3.130000,3.050000,3.090000,3.090000,17632200
2020-01-28,3.140000,3.270000,3.080000,3.230000,3.230000,15574700
2020-01-29,3.250000,3.290000,3.070000,3.110000,3.110000,16112100
2020-01-30,3.050000,3.100000,2.960000,3.090000,3.090000,21279700
2020-01-31,3.050000,3.050000,2.950000,3.000000,3.000000,16427100
2020-02-03,2.990000,3.090000,2.870000,2.940000,2.940000,14256800
2020-02-04,3.040000,3.070000,2.940000,2.960000,2.960000,14624100
2020-02-05,3.030000,3.230000,3.030000,3.200000,3.200000,15125500
2020-02-06,3.210000,3.210000,3.050000,3.070000,3.070000,13561900
2020-02-07,3.030000,3.030000,2.920000,3.010000,3.010000,9836300
2020-02-10,2.960000,2.970000,2.790000,2.810000,2.810000,14662000
2020-02-11,2.890000,2.920000,2.820000,2.860000,2.860000,9676300
2020-02-12,2.950000,3.070000,2.870000,2.900000,2.900000,12442900
2020-02-13,2.890000,3.000000,2.870000,2.910000,2.910000,7329500
2020-02-14,2.920000,2.950000,2.810000,2.880000,2.880000,9091800
2020-02-18,2.830000,2.870000,2.730000,2.840000,2.840000,13873900
2020-02-19,2.900000,3.030000,2.890000,3.000000,3.000000,10964900
2020-02-20,3.000000,3.090000,2.930000,3.030000,3.030000,16433900
2020-02-21,2.990000,2.990000,2.830000,2.850000,2.850000,12226600
2020-02-24,2.720000,2.720000,2.450000,2.480000,2.480000,16902900
2020-02-25,2.510000,2.510000,2.250000,2.350000,2.350000,15574900
2020-02-26,2.370000,2.400000,2.180000,2.230000,2.230000,17085000
2020-02-27,2.250000,2.310000,1.980000,2.040000,2.040000,26222000
2020-02-28,1.910000,2.270000,1.900000,2.270000,2.270000,21621000
2020-03-02,2.340000,2.350000,2.040000,2.090000,2.090000,21762700
2020-03-03,2.130000,2.130000,1.960000,2.040000,2.040000,17766900
2020-03-04,2.170000,2.180000,1.890000,1.940000,1.940000,22801700
2020-03-05,1.880000,1.900000,1.720000,1.800000,1.800000,17963800
